Shares,Value,Url,Text,Start date,Ownership,Ticker,30_day_return,Ml_target_signal,mask_executive_id,mask_position_id
485205,108682627.0,,Sale at price 223.88 - 224.02 per share.,2025-07-09,D,AMZN,0.0382,0,377573f426f1b4eb68d6b159660d03ecd7e120aa574bfb7afa192ed27581f70d,a05e77c114e6c8e99d31bdbdd81adc6fc5fff2fed1a00a3a75db00a4e194cede
2974445,665864143.0,,Sale at price 223.73 - 223.92 per share.,2025-07-07,D,AMZN,0.0338,0,377573f426f1b4eb68d6b159660d03ecd7e120aa574bfb7afa192ed27581f70d,a05e77c114e6c8e99d31bdbdd81adc6fc5fff2fed1a00a3a75db00a4e194cede
2500,550144.0,,Sale at price 219.17 - 220.90 per share.,2025-07-01,D,AMZN,0.0101,0,a5031882238d0eb6e8c720e8cecaf1cceac6cb8e4da8fe13d6925ae278346035,0b4b9cf280db0684e726c2d69e9c94ac80ed76308867e7b2a51e13ec634843bf
3324926,736683388.0,,Sale at price 221.41 - 223.56 per share.,2025-06-30,D,AMZN,0.015,0,377573f426f1b4eb68d6b159660d03ecd7e120aa574bfb7afa192ed27581f70d,a05e77c114e6c8e99d31bdbdd81adc6fc5fff2fed1a00a3a75db00a4e194cede
24410,0.0,,Stock Gift at price 0.00 per share.,2025-06-03,D,AMZN,0.0939,1,377573f426f1b4eb68d6b159660d03ecd7e120aa574bfb7afa192ed27581f70d,a05e77c114e6c8e99d31bdbdd81adc6fc5fff2fed1a00a3a75db00a4e194cede
2500,512450.0,,Sale at price 204.98 per share.,2025-06-02,D,AMZN,0.0889,1,a5031882238d0eb6e8c720e8cecaf1cceac6cb8e4da8fe13d6925ae278346035,0b4b9cf280db0684e726c2d69e9c94ac80ed76308867e7b2a51e13ec634843bf
20670,4175442.0,,Sale at price 200.75 - 203.42 per share.,2025-05-22,D,AMZN,0.0802,1,b19f29bdc7ab62cc307c30f5d7d6b7c43c220142c7901f00e5f3958c43324363,0b4b9cf280db0684e726c2d69e9c94ac80ed76308867e7b2a51e13ec634843bf
2695,541129.0,,Sale at price 200.73 - 201.48 per share.,2025-05-21,D,AMZN,0.1103,1,16cf70bb7b601e0eb0d8a0a9f2c914706a66ec5c2e209bd8903ffc6363015c08,0b4b9cf280db0684e726c2d69e9c94ac80ed76308867e7b2a51e13ec634843bf
19872,4000320.0,,Sale at price 200.75 - 202.81 per share.,2025-05-21,D,AMZN,0.1103,1,38a6148db2f362be2a1783ea3432249f7b30ad4e555be32b182e2fa19c569f81,c843c232c31426b2ee4ebab8c1146a01d410b1c8f9ba0da36361a1edcc5e5095
20923,4211791.0,,Sale at price 200.75 - 203.21 per share.,2025-05-21,D,AMZN,0.1103,1,adc039d6dcd07020258b374c26419004a9e6d50998298dfb713ad656b9194007,c843c232c31426b2ee4ebab8c1146a01d410b1c8f9ba0da36361a1edcc5e5095
6843,1373851.0,,Sale at price 200.76 - 201.36 per share.,2025-05-21,D,AMZN,0.1103,1,a5031882238d0eb6e8c720e8cecaf1cceac6cb8e4da8fe13d6925ae278346035,c843c232c31426b2ee4ebab8c1146a01d410b1c8f9ba0da36361a1edcc5e5095
17750,3577868.0,,Sale at price 201.57 per share.,2025-05-21,D,AMZN,0.1103,1,8ce2b0c013f6eb3f0fe00026648a986f6141aa1145b5af9b5f6eb38316b5bece,e878fb932775145a35d621cbfd18580eac7e08d475df589d8d4709f6effc7826
17750,,,,2025-05-21,D,AMZN,0.1103,1,b19f29bdc7ab62cc307c30f5d7d6b7c43c220142c7901f00e5f3958c43324363,0b4b9cf280db0684e726c2d69e9c94ac80ed76308867e7b2a51e13ec634843bf
17750,,,,2025-05-21,D,AMZN,0.1103,1,8ce2b0c013f6eb3f0fe00026648a986f6141aa1145b5af9b5f6eb38316b5bece,e878fb932775145a35d621cbfd18580eac7e08d475df589d8d4709f6effc7826
17107,,,,2025-05-21,D,AMZN,0.1103,1,a5031882238d0eb6e8c720e8cecaf1cceac6cb8e4da8fe13d6925ae278346035,c843c232c31426b2ee4ebab8c1146a01d410b1c8f9ba0da36361a1edcc5e5095
20923,,,,2025-05-21,D,AMZN,0.1103,1,adc039d6dcd07020258b374c26419004a9e6d50998298dfb713ad656b9194007,c843c232c31426b2ee4ebab8c1146a01d410b1c8f9ba0da36361a1edcc5e5095
49680,,,,2025-05-21,D,AMZN,0.1103,1,38a6148db2f362be2a1783ea3432249f7b30ad4e555be32b182e2fa19c569f81,c843c232c31426b2ee4ebab8c1146a01d410b1c8f9ba0da36361a1edcc5e5095
2695,,,,2025-05-21,D,AMZN,0.1103,1,16cf70bb7b601e0eb0d8a0a9f2c914706a66ec5c2e209bd8903ffc6363015c08,0b4b9cf280db0684e726c2d69e9c94ac80ed76308867e7b2a51e13ec634843bf
4864,0.0,,Stock Gift at price 0.00 per share.,2025-05-20,D,AMZN,0.0942,1,a5031882238d0eb6e8c720e8cecaf1cceac6cb8e4da8fe13d6925ae278346035,0b4b9cf280db0684e726c2d69e9c94ac80ed76308867e7b2a51e13ec634843bf
2120,,,,2025-05-15,D,AMZN,0.0161,0,43ff63f1af2aa0612f8a7071de17bffc90eb216f40694638cfa0062bb87b3cd3,b3c5bb2c6216bd5eebb27844209d649b53dfffa56f1b9bd189f374dcc0056611
4784,980971.0,,Sale at price 204.58 - 206.03 per share.,2025-05-15,D,AMZN,0.0161,0,a5031882238d0eb6e8c720e8cecaf1cceac6cb8e4da8fe13d6925ae278346035,c843c232c31426b2ee4ebab8c1146a01d410b1c8f9ba0da36361a1edcc5e5095
11960,,,,2025-05-15,D,AMZN,0.0161,0,a5031882238d0eb6e8c720e8cecaf1cceac6cb8e4da8fe13d6925ae278346035,c843c232c31426b2ee4ebab8c1146a01d410b1c8f9ba0da36361a1edcc5e5095
1984,,,,2025-05-15,D,AMZN,0.0161,0,84697739c67dc1e2fab68b414b579a6edef237907f349e31abb2db533b1333d9,b3c5bb2c6216bd5eebb27844209d649b53dfffa56f1b9bd189f374dcc0056611
609402,0.0,,Stock Gift at price 0.00 per share.,2025-05-14,D,AMZN,-0.0027,0,377573f426f1b4eb68d6b159660d03ecd7e120aa574bfb7afa192ed27581f70d,a05e77c114e6c8e99d31bdbdd81adc6fc5fff2fed1a00a3a75db00a4e194cede
1000,210680.0,,Sale at price 210.68 per share.,2025-05-12,D,AMZN,0.005,0,33260b377af2df0055d09866543a03d783491a7a034adaa7d615bd1c8d37ae43,b3c5bb2c6216bd5eebb27844209d649b53dfffa56f1b9bd189f374dcc0056611
2500,476675.0,,Sale at price 190.67 per share.,2025-05-01,D,AMZN,0.1408,1,a5031882238d0eb6e8c720e8cecaf1cceac6cb8e4da8fe13d6925ae278346035,0b4b9cf280db0684e726c2d69e9c94ac80ed76308867e7b2a51e13ec634843bf
2500,469975.0,,Sale at price 187.99 per share.,2025-04-01,D,AMZN,0.0046,0,a5031882238d0eb6e8c720e8cecaf1cceac6cb8e4da8fe13d6925ae278346035,0b4b9cf280db0684e726c2d69e9c94ac80ed76308867e7b2a51e13ec634843bf
